zone_id,Zone,Borough_original,avg_actual,avg_pred,MAE,MAPE,num_hours
222,Starrett City,Brooklyn,2.31,2.31,1.17,64.57,1067
51,Co-Op City,Bronx,2.26,2.3,1.16,64.76,1121
66,DUMBO/Vinegar Hill,Brooklyn,2.81,2.73,1.36,65.29,1432
95,Forest Hills,Queens,2.15,2.24,1.1,66.09,1148
244,Washington Heights South,Manhattan,4.15,4.23,1.82,66.21,1777
152,Manhattanville,Manhattan,2.92,2.9,1.4,66.97,1618
216,South Ozone Park,Queens,3.15,3.02,1.51,67.05,1650
35,Brownsville,Brooklyn,3.35,3.26,1.62,67.82,1372
245,West Brighton,Staten Island,1.0,1.69,0.69,68.99,5
188,Prospect-Lefferts Gardens,Brooklyn,3.41,3.33,1.69,69.94,1460
61,Crown Heights North,Brooklyn,4.31,4.33,1.93,70.05,1643
116,Hamilton Heights,Manhattan,3.5,3.62,1.68,70.46,1817
91,Flatlands,Brooklyn,2.85,2.83,1.46,71.71,1247
197,Richmond Hill,Queens,2.32,2.39,1.33,72.08,1278
76,East New York,Brooklyn,4.99,5.03,2.27,72.71,1605
89,Flatbush/Ditmas Park,Brooklyn,3.33,3.29,1.67,72.92,1428
39,Canarsie,Brooklyn,3.63,3.65,1.86,74.76,1384
70,East Elmhurst,Queens,16.56,16.75,5.79,77.82,1846
12,Battery Park,Manhattan,2.61,2.79,1.41,78.15,979
255,Williamsburg (North Side),Brooklyn,3.17,2.88,1.83,81.36,1197
4,Alphabet City,Manhattan,6.6,6.61,2.85,90.0,1850
240,Van Cortlandt Park,Bronx,1.07,1.77,0.97,95.85,169
44,Charleston/Tottenville,Staten Island,1.0,1.58,0.96,95.92,3
34,Brooklyn Navy Yard,Brooklyn,2.51,2.57,1.88,100.46,234
235,University Heights/Morris Heights,Bronx,2.07,2.8,1.48,106.05,1031
195,Red Hook,Brooklyn,3.26,3.67,2.44,118.44,765
93,Flushing Meadows-Corona Park,Queens,6.47,8.24,4.71,160.77,862
138,LaGuardia Airport,Queens,165.28,167.76,35.77,165.52,1969
